# {'n':1000, 'M':3, 'N':2, 'f':[0,2], 'f_':[3,5], 'x':[6,7]}
402,0.638,0.670,-1.617,0.639,0.671,0.282,0.638,0.670
403,0.835,0.472,-1.332,0.836,0.472,0.319,0.835,0.472
404,0.133,0.723,0.550,0.133,0.723,0.565,0.133,0.723
405,0.628,0.369,-0.499,0.629,0.369,0.428,0.628,0.369
406,0.081,0.786,0.526,0.081,0.787,0.562,0.081,0.786
407,0.746,0.586,-1.585,0.747,0.586,0.286,0.746,0.586
408,0.779,0.500,-1.325,0.779,0.500,0.320,0.779,0.500
409,0.805,0.469,-1.250,0.805,0.470,0.330,0.805,0.469
410,0.601,0.287,0.117,0.601,0.287,0.508,0.601,0.287
411,0.765,0.300,-0.370,0.766,0.300,0.445,0.765,0.300
412,0.593,0.675,-1.529,0.594,0.676,0.293,0.593,0.675
413,0.290,0.862,-0.636,0.290,0.863,0.410,0.290,0.862
414,0.829,0.094,0.307,0.829,0.093,0.533,0.829,0.094
415,0.231,0.730,0.075,0.231,0.730,0.503,0.231,0.730
416,0.142,0.066,3.166,0.142,0.065,0.906,0.142,0.066
417,0.371,0.778,-0.749,0.371,0.778,0.395,0.371,0.778
418,0.546,0.923,-1.903,0.546,0.924,0.245,0.546,0.923
419,0.670,0.419,-0.847,0.670,0.419,0.383,0.670,0.419
420,0.558,0.790,-1.565,0.558,0.791,0.289,0.558,0.790
421,0.973,0.882,-3.419,0.974,0.882,0.047,0.973,0.882
422,0.393,0.984,-1.513,0.393,0.985,0.296,0.393,0.984
423,0.763,0.766,-2.177,0.763,0.767,0.209,0.763,0.766
424,0.153,0.076,3.082,0.152,0.076,0.895,0.153,0.076
425,0.847,0.339,-0.799,0.848,0.339,0.389,0.847,0.339
426,0.183,0.323,1.903,0.183,0.323,0.742,0.183,0.323
427,0.549,0.975,-2.106,0.549,0.976,0.218,0.549,0.975
428,0.347,0.999,-1.390,0.347,1.000,0.312,0.347,0.999
429,0.418,0.435,-0.212,0.418,0.435,0.465,0.418,0.435
430,0.287,0.576,0.188,0.287,0.577,0.518,0.287,0.576
431,0.287,0.992,-1.119,0.287,0.993,0.347,0.287,0.992
432,0.865,0.595,-1.900,0.866,0.596,0.245,0.865,0.595
433,0.954,0.827,-3.127,0.955,0.828,0.085,0.954,0.827
434,0.294,0.610,0.050,0.294,0.610,0.500,0.294,0.610
435,0.689,0.555,-1.437,0.689,0.555,0.306,0.689,0.555
436,0.063,0.618,1.258,0.063,0.618,0.657,0.063,0.618
437,0.630,0.125,0.936,0.631,0.125,0.615,0.630,0.125
438,0.351,0.895,-1.013,0.351,0.896,0.361,0.351,0.895
439,0.175,0.545,1.005,0.175,0.545,0.624,0.175,0.545
440,0.872,0.693,-2.289,0.873,0.693,0.194,0.872,0.693
441,0.619,0.906,-2.129,0.620,0.907,0.215,0.619,0.906
442,0.193,0.678,0.436,0.192,0.679,0.550,0.193,0.678
443,0.957,0.967,-3.695,0.957,0.968,0.011,0.957,0.967
444,0.964,0.133,-0.391,0.965,0.133,0.442,0.964,0.133
445,0.968,0.518,-1.954,0.969,0.518,0.238,0.968,0.518
446,0.880,0.380,-1.081,0.881,0.380,0.352,0.880,0.380
447,0.102,0.566,1.286,0.102,0.567,0.661,0.102,0.566
448,0.857,0.848,-2.830,0.858,0.849,0.124,0.857,0.848
449,0.049,0.727,0.890,0.049,0.727,0.609,0.049,0.727
450,0.282,0.821,-0.462,0.282,0.821,0.433,0.282,0.821
451,0.588,0.495,-1.189,0.589,0.495,0.338,0.588,0.495
452,0.279,0.972,-1.010,0.279,0.973,0.361,0.279,0.972
453,0.346,0.007,2.585,0.346,0.006,0.831,0.346,0.007
454,0.433,0.224,1.171,0.433,0.224,0.646,0.433,0.224
455,0.166,0.529,1.114,0.166,0.530,0.639,0.166,0.529
456,0.487,0.705,-1.197,0.487,0.705,0.337,0.487,0.705
457,0.590,0.660,-1.510,0.591,0.660,0.296,0.590,0.660
458,0.228,0.519,0.784,0.228,0.520,0.595,0.228,0.519
459,0.270,0.174,2.182,0.270,0.174,0.778,0.270,0.174
460,0.917,0.070,0.052,0.918,0.069,0.500,0.917,0.070
461,0.089,0.382,2.091,0.089,0.382,0.766,0.089,0.382
462,0.501,0.488,-0.953,0.501,0.488,0.369,0.501,0.488
463,0.815,0.951,-3.067,0.815,0.952,0.093,0.815,0.951
464,0.876,0.284,-0.666,0.877,0.284,0.406,0.876,0.284
465,0.999,0.385,-1.541,1.000,0.385,0.292,0.999,0.385
466,0.623,0.648,-1.561,0.623,0.649,0.289,0.623,0.648
467,0.608,0.486,-1.167,0.608,0.487,0.341,0.608,0.486
468,0.819,0.147,0.125,0.820,0.146,0.509,0.819,0.147
469,0.061,0.315,2.485,0.061,0.315,0.818,0.061,0.315
470,0.040,0.084,3.504,0.040,0.083,0.951,0.040,0.084
471,0.197,0.656,0.493,0.197,0.656,0.557,0.197,0.656
472,0.484,0.749,-1.221,0.484,0.749,0.334,0.484,0.749
473,0.475,0.736,-1.167,0.475,0.736,0.341,0.475,0.736
474,0.948,0.527,-1.914,0.948,0.527,0.243,0.948,0.527
475,0.615,0.466,-1.073,0.615,0.466,0.353,0.615,0.466
476,0.408,0.453,-0.255,0.409,0.453,0.460,0.408,0.453
477,0.925,0.797,-2.891,0.926,0.798,0.116,0.925,0.797
478,0.733,0.127,0.541,0.733,0.126,0.564,0.733,0.127
479,0.017,0.994,-0.044,0.016,0.995,0.487,0.017,0.994
480,0.540,0.657,-1.381,0.541,0.658,0.313,0.540,0.657
481,0.806,0.773,-2.352,0.807,0.774,0.186,0.806,0.773
482,0.943,0.513,-1.840,0.943,0.513,0.253,0.943,0.513
483,0.952,0.148,-0.404,0.953,0.148,0.440,0.952,0.148
484,0.715,0.311,-0.299,0.716,0.311,0.454,0.715,0.311
485,0.771,0.761,-2.186,0.772,0.761,0.208,0.771,0.761
486,0.373,0.465,-0.059,0.373,0.465,0.485,0.373,0.465
487,0.146,0.231,2.475,0.145,0.231,0.816,0.146,0.231
488,0.201,0.141,2.620,0.201,0.141,0.835,0.201,0.141
489,0.797,0.132,0.273,0.797,0.132,0.529,0.797,0.132
490,0.362,0.333,0.830,0.362,0.332,0.601,0.362,0.333
491,0.394,0.547,-0.530,0.394,0.547,0.424,0.394,0.547
492,0.477,0.965,-1.784,0.478,0.966,0.260,0.477,0.965
493,0.781,0.732,-2.124,0.782,0.733,0.216,0.781,0.732
494,0.900,0.653,-2.235,0.900,0.653,0.201,0.900,0.653
495,0.121,0.751,0.500,0.120,0.751,0.558,0.121,0.751
496,0.981,0.769,-3.001,0.981,0.770,0.101,0.981,0.769
497,0.352,0.079,2.255,0.352,0.079,0.788,0.352,0.079
498,0.907,0.146,-0.215,0.908,0.145,0.465,0.907,0.146
499,0.844,0.848,-2.774,0.845,0.848,0.131,0.844,0.848
500,0.089,0.863,0.190,0.088,0.864,0.518,0.089,0.863
501,0.904,0.430,-1.372,0.905,0.430,0.314,0.904,0.430
502,0.341,0.547,-0.132,0.341,0.547,0.476,0.341,0.547
503,0.122,0.507,1.427,0.122,0.507,0.679,0.122,0.507
504,0.894,0.494,-1.597,0.895,0.494,0.285,0.894,0.494
505,0.649,0.637,-1.585,0.650,0.637,0.286,0.649,0.637
506,0.044,0.293,2.643,0.044,0.293,0.838,0.044,0.293
507,0.637,0.663,-1.605,0.638,0.664,0.284,0.637,0.663
508,0.373,0.495,-0.190,0.373,0.495,0.468,0.373,0.495
509,0.498,0.700,-1.240,0.498,0.701,0.331,0.498,0.700
510,0.727,0.474,-1.156,0.727,0.474,0.342,0.727,0.474
511,0.829,0.544,-1.602,0.830,0.544,0.284,0.829,0.544
512,0.122,0.373,1.977,0.122,0.373,0.751,0.122,0.373
513,0.656,0.057,1.135,0.656,0.057,0.641,0.656,0.057
514,0.179,0.707,0.403,0.179,0.708,0.546,0.179,0.707
515,0.516,0.249,0.662,0.516,0.248,0.580,0.516,0.249
516,0.827,0.880,-2.837,0.828,0.881,0.123,0.827,0.880
517,0.288,0.263,1.663,0.288,0.263,0.710,0.288,0.263
518,0.042,0.118,3.359,0.042,0.117,0.932,0.042,0.118
519,0.148,0.743,0.409,0.148,0.744,0.546,0.148,0.743
520,0.950,0.052,-0.008,0.951,0.051,0.492,0.950,0.052
521,0.461,0.483,-0.742,0.461,0.484,0.396,0.461,0.483
522,0.449,0.177,1.381,0.449,0.176,0.673,0.449,0.177
523,0.735,0.731,-1.979,0.736,0.732,0.235,0.735,0.731
524,0.326,0.114,2.213,0.326,0.114,0.782,0.326,0.114
525,0.974,0.846,-3.282,0.975,0.847,0.065,0.974,0.846
526,0.782,0.604,-1.709,0.783,0.605,0.270,0.782,0.604
527,0.627,0.738,-1.693,0.627,0.739,0.272,0.627,0.738
528,0.936,0.481,-1.690,0.937,0.481,0.273,0.936,0.481
529,0.537,0.912,-1.828,0.537,0.913,0.254,0.537,0.912
530,0.443,0.218,1.164,0.443,0.218,0.645,0.443,0.218
531,0.840,0.103,0.222,0.841,0.103,0.522,0.840,0.103
532,0.479,0.094,1.667,0.480,0.094,0.711,0.479,0.094
533,0.851,0.335,-0.791,0.851,0.335,0.390,0.851,0.335
534,0.077,0.585,1.327,0.077,0.585,0.666,0.077,0.585
535,0.366,0.365,0.587,0.366,0.365,0.570,0.366,0.365
536,0.694,0.894,-2.371,0.694,0.894,0.184,0.694,0.894
537,0.011,0.459,2.114,0.010,0.459,0.769,0.011,0.459
538,0.465,0.179,1.298,0.466,0.179,0.663,0.465,0.179
539,0.576,0.983,-2.247,0.577,0.984,0.200,0.576,0.983
540,0.073,0.026,3.605,0.073,0.025,0.964,0.073,0.026
541,0.817,0.312,-0.583,0.818,0.312,0.417,0.817,0.312
542,0.983,0.919,-3.608,0.984,0.919,0.022,0.983,0.919
543,0.245,0.089,2.655,0.245,0.088,0.840,0.245,0.089
544,0.157,0.087,3.021,0.157,0.087,0.888,0.157,0.087
545,0.235,0.111,2.602,0.235,0.111,0.833,0.235,0.111
546,0.636,0.256,0.224,0.637,0.255,0.522,0.636,0.256
547,0.691,0.514,-1.300,0.691,0.514,0.323,0.691,0.514
548,0.390,0.568,-0.548,0.390,0.568,0.422,0.390,0.568
549,0.559,0.901,-1.879,0.560,0.902,0.248,0.559,0.901
550,0.038,0.267,2.777,0.037,0.267,0.856,0.038,0.267
551,0.203,0.755,0.123,0.203,0.755,0.509,0.203,0.755
552,0.036,0.924,0.161,0.036,0.925,0.514,0.036,0.924
553,0.536,0.711,-1.387,0.536,0.711,0.312,0.536,0.711
554,0.252,0.429,1.010,0.252,0.429,0.625,0.252,0.429
555,0.348,0.132,2.038,0.348,0.131,0.759,0.348,0.132
556,0.399,0.973,-1.497,0.399,0.974,0.298,0.399,0.973
557,0.573,0.983,-2.232,0.573,0.984,0.202,0.573,0.983
558,0.223,0.308,1.770,0.223,0.308,0.724,0.223,0.308
559,0.674,0.739,-1.825,0.674,0.740,0.255,0.674,0.739
560,0.071,0.012,3.667,0.071,0.012,0.972,0.071,0.012
561,0.882,0.030,0.350,0.883,0.030,0.539,0.882,0.030
562,0.595,0.409,-0.721,0.595,0.409,0.399,0.595,0.409
563,0.753,0.238,-0.035,0.753,0.238,0.489,0.753,0.238
564,0.774,0.236,-0.097,0.775,0.236,0.480,0.774,0.236
565,0.626,0.505,-1.250,0.626,0.505,0.330,0.626,0.505
566,0.736,0.212,0.145,0.737,0.212,0.512,0.736,0.212
567,0.793,0.410,-0.964,0.793,0.410,0.367,0.793,0.410
568,0.457,0.203,1.198,0.457,0.203,0.649,0.457,0.203
569,0.579,0.520,-1.272,0.579,0.520,0.327,0.579,0.520
570,0.483,0.509,-0.961,0.483,0.509,0.368,0.483,0.509
571,0.731,0.592,-1.582,0.731,0.592,0.287,0.731,0.592
572,0.926,0.800,-2.908,0.926,0.801,0.113,0.926,0.800
573,0.167,0.325,1.971,0.167,0.325,0.750,0.167,0.325
574,0.611,0.738,-1.649,0.612,0.739,0.278,0.611,0.738
575,0.566,0.301,0.121,0.566,0.301,0.509,0.566,0.301
576,0.182,0.702,0.406,0.182,0.702,0.546,0.182,0.702
577,0.120,0.236,2.566,0.119,0.235,0.828,0.120,0.236
578,0.264,0.887,-0.623,0.264,0.888,0.412,0.264,0.887
579,0.254,0.718,-0.002,0.254,0.719,0.493,0.254,0.718
580,0.456,0.552,-0.941,0.456,0.552,0.370,0.456,0.552
581,0.219,0.306,1.802,0.219,0.306,0.728,0.219,0.306
582,0.101,0.761,0.539,0.101,0.762,0.564,0.101,0.761
583,0.325,0.375,0.804,0.325,0.375,0.598,0.325,0.375
584,0.119,0.041,3.358,0.119,0.041,0.932,0.119,0.041
585,0.781,0.436,-1.057,0.781,0.436,0.355,0.781,0.436
586,0.445,0.101,1.776,0.445,0.101,0.725,0.445,0.101
587,0.157,0.254,2.327,0.157,0.254,0.797,0.157,0.254
588,0.832,0.411,-1.066,0.832,0.411,0.354,0.832,0.411
589,0.507,0.305,0.285,0.507,0.305,0.530,0.507,0.305
590,0.464,0.206,1.145,0.464,0.206,0.643,0.464,0.206
591,0.057,0.698,0.970,0.057,0.698,0.620,0.057,0.698
592,0.634,0.268,0.157,0.634,0.267,0.514,0.634,0.268
593,0.941,0.111,-0.209,0.942,0.110,0.466,0.941,0.111
594,0.532,0.981,-2.062,0.532,0.982,0.224,0.532,0.981
595,0.181,0.196,2.473,0.180,0.196,0.816,0.181,0.196
596,0.703,0.047,0.994,0.704,0.046,0.623,0.703,0.047
597,0.048,0.980,-0.112,0.048,0.981,0.478,0.048,0.980
598,0.938,0.122,-0.240,0.938,0.122,0.462,0.938,0.122
599,0.822,0.302,-0.555,0.823,0.302,0.421,0.822,0.302
600,0.835,0.892,-2.912,0.836,0.893,0.113,0.835,0.892
601,0.170,0.789,0.141,0.170,0.790,0.511,0.170,0.789
602,0.147,0.268,2.312,0.146,0.268,0.795,0.147,0.268
603,0.415,0.224,1.258,0.415,0.223,0.657,0.415,0.224
604,0.716,0.011,1.087,0.717,0.011,0.635,0.716,0.011
605,0.257,0.064,2.708,0.257,0.064,0.847,0.257,0.064
606,0.777,0.378,-0.779,0.778,0.378,0.391,0.777,0.378
607,0.398,0.780,-0.880,0.398,0.781,0.378,0.398,0.780
608,0.866,0.985,-3.406,0.867,0.986,0.048,0.866,0.985
609,0.220,0.148,2.511,0.220,0.147,0.821,0.220,0.148
610,0.389,0.993,-1.531,0.389,0.994,0.293,0.389,0.993
611,0.318,0.436,0.504,0.319,0.436,0.559,0.318,0.436
612,0.407,0.888,-1.221,0.407,0.889,0.334,0.407,0.888
613,0.665,0.944,-2.448,0.665,0.945,0.173,0.665,0.944
614,0.799,0.158,0.152,0.800,0.158,0.513,0.799,0.158
615,0.164,0.840,-0.025,0.164,0.841,0.490,0.164,0.840
616,0.667,0.746,-1.823,0.668,0.747,0.255,0.667,0.746
617,0.266,0.747,-0.153,0.266,0.748,0.473,0.266,0.747
618,0.422,0.688,-0.875,0.422,0.689,0.379,0.422,0.688
619,0.496,0.113,1.514,0.496,0.112,0.691,0.496,0.113
620,0.635,0.459,-1.048,0.636,0.459,0.356,0.635,0.459
621,0.879,0.812,-2.771,0.880,0.813,0.131,0.879,0.812
622,0.605,0.827,-1.821,0.605,0.827,0.255,0.605,0.827
623,0.252,0.032,2.861,0.252,0.032,0.867,0.252,0.032
624,0.459,0.227,1.043,0.459,0.226,0.629,0.459,0.227
625,0.954,0.523,-1.926,0.955,0.524,0.242,0.954,0.523
626,0.648,0.771,-1.824,0.648,0.772,0.255,0.648,0.771
627,0.094,0.422,1.904,0.094,0.422,0.742,0.094,0.422
628,0.809,0.049,0.566,0.809,0.049,0.567,0.809,0.049
629,0.027,0.404,2.265,0.027,0.404,0.789,0.027,0.404
630,0.142,0.397,1.781,0.142,0.397,0.726,0.142,0.397
631,0.466,0.670,-1.093,0.466,0.670,0.350,0.466,0.670
632,0.473,0.242,0.882,0.473,0.242,0.608,0.473,0.242
633,0.742,0.024,0.936,0.742,0.023,0.615,0.742,0.024
634,0.410,0.332,0.553,0.410,0.332,0.565,0.410,0.332
635,0.380,0.186,1.634,0.380,0.186,0.706,0.380,0.186
636,0.312,0.458,0.443,0.312,0.458,0.551,0.312,0.458
637,0.538,0.955,-1.990,0.539,0.956,0.233,0.538,0.955
638,0.914,0.521,-1.773,0.915,0.521,0.262,0.914,0.521
639,0.603,0.821,-1.801,0.604,0.822,0.258,0.603,0.821
640,0.659,0.041,1.191,0.659,0.040,0.649,0.659,0.041
641,0.542,0.214,0.788,0.543,0.213,0.596,0.542,0.214
642,0.756,0.155,0.332,0.757,0.154,0.536,0.756,0.155
643,0.238,0.298,1.743,0.238,0.298,0.721,0.238,0.298
644,0.255,0.302,1.634,0.255,0.302,0.706,0.255,0.302
645,0.414,0.558,-0.692,0.414,0.559,0.403,0.414,0.558
646,0.537,0.950,-1.966,0.537,0.951,0.236,0.537,0.950
647,0.951,0.467,-1.688,0.951,0.467,0.273,0.951,0.467
648,0.395,0.533,-0.498,0.395,0.533,0.428,0.395,0.533
649,0.860,0.612,-1.946,0.861,0.612,0.239,0.860,0.612
650,0.859,0.303,-0.683,0.859,0.303,0.404,0.859,0.303
651,0.291,0.353,1.155,0.291,0.353,0.644,0.291,0.353
652,0.742,0.911,-2.625,0.743,0.912,0.150,0.742,0.911
653,0.706,0.696,-1.807,0.706,0.697,0.257,0.706,0.696
654,0.826,0.765,-2.392,0.827,0.765,0.181,0.826,0.765
655,0.855,0.200,-0.233,0.856,0.200,0.463,0.855,0.200
656,0.034,0.341,2.493,0.034,0.341,0.819,0.034,0.341
657,0.801,0.673,-1.984,0.801,0.673,0.234,0.801,0.673
658,0.105,0.959,-0.258,0.105,0.960,0.459,0.105,0.959
659,0.251,0.865,-0.481,0.251,0.865,0.430,0.251,0.865
660,0.752,0.970,-2.891,0.753,0.971,0.116,0.752,0.970
661,0.667,0.462,-1.070,0.667,0.462,0.353,0.667,0.462
662,0.402,0.562,-0.619,0.402,0.563,0.412,0.402,0.562
663,0.943,0.276,-0.883,0.944,0.276,0.378,0.943,0.276
664,0.784,0.092,0.489,0.784,0.092,0.557,0.784,0.092
665,0.096,0.010,3.578,0.095,0.009,0.960,0.096,0.010
666,0.437,0.395,-0.067,0.437,0.395,0.484,0.437,0.395
667,0.514,0.975,-1.966,0.514,0.976,0.236,0.514,0.975
668,0.993,0.741,-2.938,0.994,0.741,0.109,0.993,0.741
669,0.768,0.046,0.742,0.768,0.045,0.590,0.768,0.046
670,0.963,0.853,-3.266,0.964,0.854,0.067,0.963,0.853
671,0.269,0.121,2.423,0.269,0.120,0.810,0.269,0.121
672,0.739,0.296,-0.276,0.739,0.295,0.457,0.739,0.296
673,0.852,0.655,-2.081,0.853,0.655,0.221,0.852,0.655
674,0.784,0.797,-2.360,0.785,0.798,0.185,0.784,0.797
675,0.205,0.582,0.697,0.205,0.583,0.584,0.205,0.582
676,0.990,0.432,-1.695,0.991,0.432,0.272,0.990,0.432
677,0.868,0.815,-2.741,0.869,0.816,0.135,0.868,0.815
678,0.989,0.570,-2.244,0.990,0.570,0.200,0.989,0.570
679,0.155,0.218,2.489,0.155,0.217,0.818,0.155,0.218
680,0.240,0.252,1.955,0.240,0.252,0.748,0.240,0.252
681,0.535,0.376,-0.362,0.535,0.376,0.446,0.535,0.376
682,0.683,0.356,-0.494,0.684,0.356,0.429,0.683,0.356
683,0.188,0.633,0.616,0.188,0.633,0.574,0.188,0.633
684,0.639,0.043,1.262,0.640,0.042,0.658,0.639,0.043
685,0.928,0.403,-1.346,0.928,0.403,0.317,0.928,0.403
686,0.545,0.363,-0.292,0.545,0.363,0.455,0.545,0.363
687,0.326,0.362,0.876,0.326,0.362,0.607,0.326,0.362
688,0.091,0.441,1.840,0.091,0.441,0.733,0.091,0.441
689,0.966,0.669,-2.547,0.967,0.669,0.161,0.966,0.669
690,0.776,0.730,-2.100,0.776,0.731,0.219,0.776,0.730
691,0.079,0.817,0.414,0.079,0.818,0.547,0.079,0.817
692,0.992,0.030,-0.087,0.993,0.029,0.482,0.992,0.030
693,0.590,0.075,1.318,0.590,0.075,0.665,0.590,0.075
694,0.262,0.777,-0.226,0.262,0.777,0.464,0.262,0.777
695,0.393,0.559,-0.552,0.393,0.560,0.421,0.393,0.559
696,0.406,0.918,-1.319,0.406,0.919,0.321,0.406,0.918
697,0.614,0.954,-2.283,0.614,0.955,0.195,0.614,0.954
698,0.321,0.564,-0.026,0.321,0.564,0.490,0.321,0.564
699,0.913,0.522,-1.774,0.914,0.523,0.262,0.913,0.522
700,0.923,0.200,-0.500,0.924,0.200,0.428,0.923,0.200
701,0.378,0.201,1.560,0.378,0.201,0.697,0.378,0.201
702,0.436,0.367,0.143,0.436,0.367,0.512,0.436,0.367
703,0.922,0.291,-0.862,0.923,0.290,0.381,0.922,0.291
704,0.311,0.269,1.513,0.311,0.269,0.691,0.311,0.269
705,0.258,0.515,0.598,0.258,0.515,0.571,0.258,0.515
706,0.324,0.941,-1.069,0.324,0.942,0.353,0.324,0.941
707,0.662,0.948,-2.451,0.663,0.949,0.173,0.662,0.948
708,0.171,0.391,1.659,0.171,0.391,0.710,0.171,0.391
709,0.205,0.196,2.371,0.205,0.195,0.803,0.205,0.196
710,0.158,0.039,3.211,0.158,0.038,0.912,0.158,0.039
711,0.729,0.538,-1.409,0.730,0.538,0.309,0.729,0.538
712,0.377,0.674,-0.605,0.377,0.675,0.414,0.377,0.674
713,0.050,0.745,0.816,0.050,0.745,0.600,0.050,0.745
714,0.365,0.981,-1.389,0.365,0.982,0.312,0.365,0.981
715,0.533,0.936,-1.896,0.533,0.936,0.246,0.533,0.936
716,0.586,0.836,-1.776,0.586,0.836,0.261,0.586,0.836
717,0.018,0.098,3.534,0.018,0.098,0.955,0.018,0.098
718,0.013,0.724,1.046,0.013,0.725,0.630,0.013,0.724
719,0.920,0.945,-3.461,0.921,0.946,0.041,0.920,0.945
720,0.349,0.712,-0.505,0.350,0.713,0.427,0.349,0.712
721,0.970,0.796,-3.065,0.971,0.796,0.093,0.970,0.796
722,0.327,0.386,0.720,0.327,0.386,0.587,0.327,0.386
723,0.227,0.720,0.126,0.227,0.720,0.510,0.227,0.720
724,0.645,0.115,0.924,0.646,0.115,0.614,0.645,0.115
725,0.084,0.166,2.995,0.084,0.166,0.884,0.084,0.166
726,0.680,0.783,-1.959,0.681,0.784,0.237,0.680,0.783
727,0.008,0.349,2.568,0.008,0.349,0.828,0.008,0.349
728,0.519,0.362,-0.205,0.520,0.362,0.466,0.519,0.362
729,0.059,0.871,0.280,0.059,0.871,0.530,0.059,0.871
730,0.046,0.716,0.946,0.046,0.716,0.617,0.046,0.716
731,0.129,0.208,2.641,0.129,0.207,0.838,0.129,0.208
732,0.658,0.304,-0.131,0.658,0.304,0.476,0.658,0.304
733,0.511,0.497,-1.030,0.512,0.497,0.359,0.511,0.497
734,0.140,0.874,-0.059,0.139,0.875,0.485,0.140,0.874
735,0.041,0.350,2.426,0.041,0.350,0.810,0.041,0.350
736,0.842,0.311,-0.658,0.843,0.311,0.407,0.842,0.311
737,0.314,0.129,2.196,0.314,0.129,0.780,0.314,0.129
738,0.939,0.536,-1.920,0.940,0.536,0.242,0.939,0.536
739,0.901,0.705,-2.441,0.901,0.706,0.174,0.901,0.705
740,0.331,0.290,1.285,0.331,0.290,0.661,0.331,0.290
741,0.469,0.493,-0.825,0.469,0.493,0.385,0.469,0.493
742,0.188,0.647,0.568,0.188,0.647,0.567,0.188,0.647
743,0.909,0.001,0.360,0.910,0.000,0.540,0.909,0.001
744,0.493,0.534,-1.086,0.494,0.534,0.351,0.493,0.534
745,0.718,0.756,-2.001,0.718,0.757,0.232,0.718,0.756
746,0.002,0.079,3.675,0.002,0.078,0.973,0.002,0.079
747,0.135,0.330,2.099,0.135,0.330,0.767,0.135,0.330
748,0.654,0.272,0.072,0.655,0.272,0.503,0.654,0.272
749,0.902,0.402,-1.248,0.902,0.402,0.330,0.902,0.402
750,0.309,0.696,-0.245,0.309,0.696,0.461,0.309,0.696
751,0.869,0.446,-1.321,0.870,0.446,0.321,0.869,0.446
752,0.788,0.714,-2.085,0.789,0.714,0.221,0.788,0.714
753,0.697,0.503,-1.260,0.698,0.503,0.329,0.697,0.503
754,0.650,0.170,0.644,0.651,0.170,0.577,0.650,0.170
755,0.211,0.760,0.067,0.211,0.761,0.502,0.211,0.760
756,0.713,0.594,-1.565,0.713,0.594,0.289,0.713,0.594
757,0.644,0.265,0.147,0.644,0.264,0.512,0.644,0.265
758,0.980,0.208,-0.753,0.980,0.208,0.395,0.980,0.208
759,0.693,0.507,-1.273,0.693,0.507,0.327,0.693,0.507
760,0.444,0.716,-1.008,0.444,0.717,0.361,0.444,0.716
761,0.881,0.365,-1.021,0.882,0.365,0.360,0.881,0.365
762,0.065,0.068,3.465,0.065,0.068,0.946,0.065,0.068
763,0.605,0.543,-1.365,0.606,0.543,0.315,0.605,0.543
764,0.470,0.181,1.265,0.471,0.181,0.658,0.470,0.181
765,0.450,0.192,1.287,0.450,0.192,0.661,0.450,0.192
766,0.907,0.970,-3.508,0.907,0.971,0.035,0.907,0.970
767,0.773,0.954,-2.911,0.773,0.955,0.113,0.773,0.954
768,0.796,0.578,-1.648,0.796,0.578,0.278,0.796,0.578
769,0.876,0.803,-2.723,0.876,0.803,0.138,0.876,0.803
770,0.332,0.446,0.352,0.332,0.447,0.539,0.332,0.446
771,0.227,0.375,1.431,0.226,0.375,0.680,0.227,0.375
772,0.193,0.397,1.517,0.193,0.397,0.691,0.193,0.397
773,0.155,0.903,-0.234,0.155,0.903,0.463,0.155,0.903
774,0.012,0.194,3.176,0.011,0.194,0.908,0.012,0.194
775,0.676,0.583,-1.506,0.677,0.584,0.297,0.676,0.583
776,0.277,0.184,2.105,0.277,0.184,0.768,0.277,0.184
777,0.797,0.158,0.163,0.798,0.158,0.514,0.797,0.158
778,0.035,0.536,1.704,0.034,0.536,0.716,0.035,0.536
779,0.108,0.477,1.618,0.107,0.477,0.704,0.108,0.477
780,0.686,0.106,0.811,0.687,0.105,0.599,0.686,0.106
781,0.813,0.842,-2.636,0.814,0.843,0.149,0.813,0.842
782,0.826,0.756,-2.359,0.826,0.757,0.185,0.826,0.756
783,0.315,0.390,0.784,0.315,0.390,0.596,0.315,0.390
784,0.620,0.629,-1.534,0.621,0.629,0.293,0.620,0.629
785,0.375,0.161,1.782,0.375,0.160,0.726,0.375,0.161
786,0.777,0.445,-1.091,0.778,0.445,0.351,0.777,0.445
787,0.550,0.680,-1.418,0.551,0.681,0.308,0.550,0.680
788,0.694,0.239,0.144,0.695,0.239,0.512,0.694,0.239
789,0.008,0.542,1.795,0.007,0.542,0.728,0.008,0.542
790,0.006,0.661,1.327,0.006,0.661,0.666,0.006,0.661
791,0.488,0.036,1.888,0.489,0.036,0.740,0.488,0.036
792,0.946,0.530,-1.922,0.947,0.530,0.242,0.946,0.530
793,0.583,0.666,-1.498,0.583,0.667,0.297,0.583,0.666
794,0.916,0.086,-0.011,0.917,0.086,0.492,0.916,0.086
795,0.995,0.343,-1.353,0.996,0.342,0.316,0.995,0.343
796,0.513,0.031,1.812,0.513,0.031,0.730,0.513,0.031
797,0.564,0.048,1.539,0.564,0.047,0.694,0.564,0.048
798,0.033,0.900,0.268,0.032,0.901,0.528,0.033,0.900
799,0.016,0.109,3.501,0.015,0.108,0.950,0.016,0.109
800,0.523,0.341,-0.051,0.523,0.341,0.486,0.523,0.341
801,0.428,0.139,1.667,0.428,0.139,0.711,0.428,0.139
802,0.903,0.468,-1.522,0.903,0.468,0.294,0.903,0.468
803,0.410,0.905,-1.292,0.410,0.905,0.324,0.410,0.905
804,0.562,0.588,-1.394,0.563,0.588,0.311,0.562,0.588
